Column,Value,Count
Unnamed: 0,1127,1
Unnamed: 0,1125,1
Unnamed: 0,1223,1
Unnamed: 0,1225,1
Unnamed: 0,1334,1
Unnamed: 0,1296,1
Unnamed: 0,1304,1
Unnamed: 0,1303,1
Unnamed: 0,1302,1
Unnamed: 0,1301,1
Unnamed: 0,1300,1
Unnamed: 0,1299,1
Unnamed: 0,1298,1
Unnamed: 0,1295,1
Unnamed: 0,1226,1
Unnamed: 0,1294,1
Unnamed: 0,1293,1
Unnamed: 0,1291,1
Unnamed: 0,1290,1
Unnamed: 0,1288,1
Unnamed: 0,1287,1
Unnamed: 0,1286,1
Unnamed: 0,1307,1
Unnamed: 0,1308,1
Unnamed: 0,1309,1
Unnamed: 0,1310,1
Unnamed: 0,1333,1
Unnamed: 0,1330,1
Unnamed: 0,1329,1
Unnamed: 0,1328,1
Unnamed: 0,1327,1
Unnamed: 0,1326,1
Unnamed: 0,1325,1
Unnamed: 0,1324,1
Unnamed: 0,1323,1
Unnamed: 0,1319,1
Unnamed: 0,1318,1
Unnamed: 0,1317,1
Unnamed: 0,1315,1
Unnamed: 0,1313,1
Unnamed: 0,1311,1
Unnamed: 0,1285,1
Unnamed: 0,1284,1
Unnamed: 0,1283,1
Unnamed: 0,1253,1
Unnamed: 0,1251,1
Unnamed: 0,1250,1
Unnamed: 0,1249,1
Unnamed: 0,1248,1
Unnamed: 0,1245,1
Unnamed: 0,1241,1
Unnamed: 0,1238,1
Unnamed: 0,1236,1
Unnamed: 0,1235,1
Unnamed: 0,1233,1
Unnamed: 0,1232,1
Unnamed: 0,1230,1
Unnamed: 0,1229,1
Unnamed: 0,1228,1
Unnamed: 0,1227,1
Unnamed: 0,1252,1
Unnamed: 0,1254,1
Unnamed: 0,1282,1
Unnamed: 0,1255,1
Unnamed: 0,1280,1
Unnamed: 0,1278,1
Unnamed: 0,1277,1
Unnamed: 0,1273,1
Unnamed: 0,1272,1
Unnamed: 0,1270,1
Unnamed: 0,1269,1
Unnamed: 0,1266,1
Unnamed: 0,1264,1
Unnamed: 0,1263,1
Unnamed: 0,1262,1
Unnamed: 0,1261,1
Unnamed: 0,1259,1
Unnamed: 0,1258,1
Unnamed: 0,1257,1
Unnamed: 0,1619,1
Unnamed: 0,1621,1
Unnamed: 0,1084,1
Unnamed: 0,2001,1
Unnamed: 0,2008,1
Unnamed: 0,2007,1
Unnamed: 0,2006,1
Unnamed: 0,2005,1
Unnamed: 0,2004,1
Unnamed: 0,2003,1
Unnamed: 0,2002,1
Unnamed: 0,2000,1
Unnamed: 0,1990,1
Unnamed: 0,1999,1
Unnamed: 0,1998,1
Unnamed: 0,1996,1
Unnamed: 0,1995,1
Unnamed: 0,1994,1
Unnamed: 0,1993,1
Unnamed: 0,1992,1
Unnamed: 0,2009,1
Unnamed: 0,2010,1
Unnamed: 0,2012,1
Unnamed: 0,2015,1
Unnamed: 0,2040,1
Unnamed: 0,2038,1
Unnamed: 0,2035,1
Unnamed: 0,2034,1
Unnamed: 0,2033,1
Unnamed: 0,2032,1
Unnamed: 0,2031,1
Unnamed: 0,2030,1
Unnamed: 0,2028,1
Unnamed: 0,2026,1
Unnamed: 0,2024,1
Unnamed: 0,2023,1
Unnamed: 0,2022,1
Unnamed: 0,2019,1
Unnamed: 0,2018,1
Unnamed: 0,1991,1
Unnamed: 0,1989,1
Unnamed: 0,1622,1
Unnamed: 0,1946,1
Unnamed: 0,1957,1
Unnamed: 0,1956,1
Unnamed: 0,1953,1
Unnamed: 0,1952,1
Unnamed: 0,1951,1
Unnamed: 0,1948,1
Unnamed: 0,1947,1
Unnamed: 0,1945,1
Unnamed: 0,1988,1
Unnamed: 0,1944,1
Unnamed: 0,1943,1
Unnamed: 0,1940,1
Unnamed: 0,1939,1
Unnamed: 0,1938,1
Unnamed: 0,1936,1
Unnamed: 0,1934,1
Unnamed: 0,1958,1
Unnamed: 0,1962,1
Unnamed: 0,1963,1
Unnamed: 0,1964,1
Unnamed: 0,1987,1
Unnamed: 0,1986,1
Unnamed: 0,1985,1
Unnamed: 0,1984,1
Unnamed: 0,1983,1
Unnamed: 0,1981,1
Unnamed: 0,1980,1
Unnamed: 0,1976,1
Unnamed: 0,1975,1
Unnamed: 0,1972,1
Unnamed: 0,1971,1
Unnamed: 0,1970,1
Unnamed: 0,1969,1
Unnamed: 0,1966,1
Unnamed: 0,1965,1
Unnamed: 0,2041,1
Unnamed: 0,2042,1
Unnamed: 0,2043,1
Unnamed: 0,2115,1
Unnamed: 0,2124,1
Unnamed: 0,2123,1
Unnamed: 0,2121,1
Unnamed: 0,2120,1
Unnamed: 0,2118,1
Unnamed: 0,2117,1
Unnamed: 0,2116,1
Unnamed: 0,2113,1
Unnamed: 0,2046,1
Unnamed: 0,2112,1
Unnamed: 0,2109,1
Unnamed: 0,2108,1
Unnamed: 0,2105,1
Unnamed: 0,2104,1
Unnamed: 0,2103,1
Unnamed: 0,2102,1
Unnamed: 0,2125,1
Unnamed: 0,2126,1
Unnamed: 0,2127,1
Unnamed: 0,2129,1
Unnamed: 0,2157,1
Unnamed: 0,2156,1
Unnamed: 0,2152,1
Unnamed: 0,2149,1
Unnamed: 0,2148,1
Unnamed: 0,2144,1
Unnamed: 0,2142,1
Unnamed: 0,2141,1
Unnamed: 0,2140,1
Unnamed: 0,2139,1
Unnamed: 0,2137,1
Unnamed: 0,2136,1
Unnamed: 0,2135,1
Unnamed: 0,2131,1
Unnamed: 0,2130,1
Unnamed: 0,2101,1
Unnamed: 0,2100,1
Unnamed: 0,2099,1
Unnamed: 0,2067,1
Unnamed: 0,2065,1
Unnamed: 0,2063,1
Unnamed: 0,2062,1
Unnamed: 0,2061,1
Unnamed: 0,2060,1
Unnamed: 0,2058,1
Unnamed: 0,2057,1
Unnamed: 0,2056,1
Unnamed: 0,2055,1
Unnamed: 0,2054,1
Unnamed: 0,2052,1
Unnamed: 0,2051,1
Unnamed: 0,2050,1
Unnamed: 0,2049,1
Unnamed: 0,2047,1
Unnamed: 0,2066,1
Unnamed: 0,2071,1
Unnamed: 0,2098,1
Unnamed: 0,2073,1
Unnamed: 0,2097,1
Unnamed: 0,2096,1
Unnamed: 0,2093,1
Unnamed: 0,2091,1
Unnamed: 0,2085,1
Unnamed: 0,2084,1
Unnamed: 0,2083,1
Unnamed: 0,2082,1
Unnamed: 0,2081,1
Unnamed: 0,2080,1
Unnamed: 0,2078,1
Unnamed: 0,2077,1
Unnamed: 0,2076,1
Unnamed: 0,2075,1
Unnamed: 0,2074,1
Unnamed: 0,1932,1
Unnamed: 0,1930,1
Unnamed: 0,1929,1
Unnamed: 0,1705,1
Unnamed: 0,1721,1
Unnamed: 0,1720,1
Unnamed: 0,1719,1
Unnamed: 0,1714,1
Unnamed: 0,1712,1
Unnamed: 0,1707,1
Unnamed: 0,1706,1
Unnamed: 0,1702,1
Unnamed: 0,1767,1
Unnamed: 0,1701,1
Unnamed: 0,1699,1
Unnamed: 0,1698,1
Unnamed: 0,1696,1
Unnamed: 0,1695,1
Unnamed: 0,1694,1
Unnamed: 0,1692,1
Unnamed: 0,1723,1
Unnamed: 0,1724,1
Unnamed: 0,1725,1
Unnamed: 0,1726,1
Unnamed: 0,1761,1
Unnamed: 0,1760,1
Unnamed: 0,1759,1
Unnamed: 0,1758,1
Unnamed: 0,1757,1
Unnamed: 0,1754,1
Unnamed: 0,1753,1
Unnamed: 0,1752,1
Unnamed: 0,1751,1
Unnamed: 0,1750,1
Unnamed: 0,1748,1
Unnamed: 0,1745,1
Unnamed: 0,1740,1
Unnamed: 0,1728,1
Unnamed: 0,1727,1
Unnamed: 0,1691,1
Unnamed: 0,1682,1
Unnamed: 0,1681,1
Unnamed: 0,1656,1
Unnamed: 0,1654,1
Unnamed: 0,1653,1
Unnamed: 0,1652,1
Unnamed: 0,1650,1
Unnamed: 0,1646,1
Unnamed: 0,1644,1
Unnamed: 0,1643,1
Unnamed: 0,1638,1
Unnamed: 0,1637,1
Unnamed: 0,1635,1
Unnamed: 0,1633,1
Unnamed: 0,1632,1
Unnamed: 0,1630,1
Unnamed: 0,1628,1
Unnamed: 0,1625,1
Unnamed: 0,1655,1
Unnamed: 0,1657,1
Unnamed: 0,1680,1
Unnamed: 0,1658,1
Unnamed: 0,1678,1
Unnamed: 0,1677,1
